Shock Displacement (mm),Contact Patch Z-axis Position (mm),Camber (deg),Toe (deg)
-20.0,20.6329524974325,2.1989831844544496,-3.208301231601006
-19.099999999999994,19.559083582206526,2.100366187214814,-3.047260512200768
-18.19999999999999,18.50039308882812,2.0015426032460564,-2.8879212340620177
-17.30000000000001,17.456536579187755,1.902532469241668,-2.73024600270874
-16.400000000000006,16.42720195874945,1.8033569177710276,-2.574201906530797
-15.5,15.41210713804999,1.7040382046811684,-2.419760233525758
-14.599999999999994,14.410997969537888,1.6045997395505238,-2.2668962238994523
-13.69999999999996,13.423646426288002,1.505066119111532,-2.115588854273209
-12.799999999999983,12.449848994168832,1.405463163590019,-1.965820649882154
-11.899999999999977,11.489425253295252,1.30581795593703,-1.817577521708079
-11.000000000000028,10.542216628141418,1.2061588839531074,-1.670848625936421
-10.099999999999994,9.608085288704544,1.1065156853273725,-1.5256262435224675
-9.199999999999989,8.686913187651157,1.0069194956331349,-1.3819056779706158
-8.300000000000011,7.778601220568291,0.9074028993406417,-1.239685169723419
-7.399999999999977,6.8830684982985275,0.8079999839249656,-1.0989658257858042
-6.5,6.000251721965739,0.7087463971648817,-0.9597515634299679
-5.599999999999994,5.130104652689653,0.6096794077427206,-0.8220490669999623
-4.699999999999989,4.2725976692197065,0.5108379692740219,-0.6858677569966661
-3.8000000000000114,3.427717407801609,0.412262787910066,-0.5512197707670089
-2.900000000000034,2.595466479546573,0.3139963936734521,-0.4181199542431507
-2.0000000000000284,1.77586326143647,0.21608321570408434,-0.28658586429078226
-1.1000000000000227,0.9689417578842665,0.1185696616101254,-0.15663778133069003
-0.19999999999998863,0.1747515304737135,0.021504201135979034,-0.028298731987268365
0.6999999999999886,-0.6066423058251473,-0.07506254562053045,0.09840547838948534
1.5999999999999943,-1.3751590210486597,-0.17107771518956907,0.22344622340453663
2.5,-2.130702143730403,-0.2664861026364834,0.34679200349409434
3.4000000000000057,-2.8731592694026915,-0.36123005809725944,0.4684083839144063
4.300000000000011,-3.602401803464346,-0.45524937762230183,0.5882579226900831
5.19999999999996,-4.318284637199326,-0.5484811879804319,0.7063000882830216
6.099999999999994,-5.020645755162647,-0.6408598250457462,0.8224911666796403
7.0,-5.709305771576936,-0.7323167053621406,0.9367841575036431
7.900000000000034,-6.384067392755853,-0.8227801904422355,1.049128658689609
8.800000000000011,-7.0447148019484445,-0.9121754433243243,1.1594707391610297
9.699999999999989,-7.691012962303972,-1.0004242768692384,1.2677527988685353
10.599999999999994,-8.32270683292532,-1.0874449932349315,1.3739134154440347
11.499999999999972,-8.939520492181785,-1.1731522139204742,1.4778871766206692
12.400000000000006,-9.54115616157388,-1.2574566997160124,1.5796044974539944
13.299999999999983,-10.127293122481632,-1.3402651598400146,1.678991421250967
14.200000000000017,-10.697586517047668,-1.4214800494787536,1.7759694029701778
15.099999999999994,-11.251666023257101,-1.5009993548739355,1.8704550737028198
15.999999999999972,-11.789134392930208,-1.5787163650270488,1.9623599846663728
16.900000000000034,-12.309565839819697,-1.65451942899962,2.051590328942583
17.799999999999983,-12.812504263301335,-1.7282916976954767,2.1380466389724004
18.69999999999999,-13.29746129117953,-1.7999108489008946,2.221623457563202
19.599999999999994,-13.763914122916134,-1.869248794240712,2.302208979875813
20.5,-14.21130315202241,-1.9361713665718283,2.3796846635301976
21.400000000000006,-14.639029343434842,-2.000537986185167,2.453924803589705
22.299999999999983,-15.046451338304848,-2.06220130401669,2.5247960687493785
23.200000000000017,-15.43288225471494,-2.1210068198736325,2.5921569945478673
24.099999999999994,-15.79758614829089,-2.176792473463771,2.6558574288449126
25.0,-16.139774091378612,-2.2293882057656775,2.715737924122663
